path,label,mvtec_class,split,defect_type
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/cable/test/poke_insulation/008.png,1,cable,test,poke_insulation
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/cable/test/poke_insulation/000.png,1,cable,test,poke_insulation
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/cable/test/good/002.png,0,cable,test,good
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/cable/test/missing_cable/010.png,1,cable,test,missing_cable
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/cable/test/cable_swap/010.png,1,cable,test,cable_swap
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/cable/test/good/028.png,0,cable,test,good
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/cable/test/cable_swap/001.png,1,cable,test,cable_swap
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/cable/test/good/053.png,0,cable,test,good
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/cable/test/bent_wire/007.png,1,cable,test,bent_wire
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/cable/test/good/057.png,0,cable,test,good
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/cable/test/good/045.png,0,cable,test,good
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/cable/test/good/039.png,0,cable,test,good
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/cable/test/bent_wire/005.png,1,cable,test,bent_wire
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/cable/test/good/040.png,0,cable,test,good
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/cable/test/good/043.png,0,cable,test,good
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/cable/test/cut_outer_insulation/009.png,1,cable,test,cut_outer_insulation
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/cable/test/cut_inner_insulation/008.png,1,cable,test,cut_inner_insulation
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/cable/test/missing_wire/000.png,1,cable,test,missing_wire
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/cable/test/missing_cable/005.png,1,cable,test,missing_cable
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/cable/test/good/018.png,0,cable,test,good
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/cable/test/cable_swap/011.png,1,cable,test,cable_swap
