path,label,mvtec_class,split,defect_type
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/crack/007.png,1,capsule,test,crack
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/crack/001.png,1,capsule,test,crack
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/crack/003.png,1,capsule,test,crack
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/poke/005.png,1,capsule,test,poke
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/crack/021.png,1,capsule,test,crack
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/scratch/006.png,1,capsule,test,scratch
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/squeeze/019.png,1,capsule,test,squeeze
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/scratch/014.png,1,capsule,test,scratch
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/good/010.png,0,capsule,test,good
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/poke/016.png,1,capsule,test,poke
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/scratch/011.png,1,capsule,test,scratch
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/crack/009.png,1,capsule,test,crack
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/crack/020.png,1,capsule,test,crack
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/faulty_imprint/002.png,1,capsule,test,faulty_imprint
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/good/006.png,0,capsule,test,good
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/squeeze/006.png,1,capsule,test,squeeze
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/poke/004.png,1,capsule,test,poke
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/good/020.png,0,capsule,test,good
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/poke/020.png,1,capsule,test,poke
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/poke/007.png,1,capsule,test,poke
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/crack/006.png,1,capsule,test,crack
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/scratch/022.png,1,capsule,test,scratch
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/faulty_imprint/005.png,1,capsule,test,faulty_imprint
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/poke/013.png,1,capsule,test,poke
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/faulty_imprint/011.png,1,capsule,test,faulty_imprint
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/crack/002.png,1,capsule,test,crack
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/good/007.png,0,capsule,test,good
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/squeeze/003.png,1,capsule,test,squeeze
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/squeeze/005.png,1,capsule,test,squeeze
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/faulty_imprint/010.png,1,capsule,test,faulty_imprint
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/crack/013.png,1,capsule,test,crack
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/scratch/002.png,1,capsule,test,scratch
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/crack/017.png,1,capsule,test,crack
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/scratch/015.png,1,capsule,test,scratch
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/good/022.png,0,capsule,test,good
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/crack/005.png,1,capsule,test,crack
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/crack/014.png,1,capsule,test,crack
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/good/014.png,0,capsule,test,good
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/good/004.png,0,capsule,test,good
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/faulty_imprint/015.png,1,capsule,test,faulty_imprint
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/good/017.png,0,capsule,test,good
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/poke/018.png,1,capsule,test,poke
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/scratch/016.png,1,capsule,test,scratch
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/poke/012.png,1,capsule,test,poke
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/scratch/017.png,1,capsule,test,scratch
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/good/012.png,0,capsule,test,good
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/scratch/004.png,1,capsule,test,scratch
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/faulty_imprint/020.png,1,capsule,test,faulty_imprint
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/scratch/009.png,1,capsule,test,scratch
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/poke/008.png,1,capsule,test,poke
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/faulty_imprint/012.png,1,capsule,test,faulty_imprint
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/squeeze/007.png,1,capsule,test,squeeze
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/squeeze/001.png,1,capsule,test,squeeze
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/poke/014.png,1,capsule,test,poke
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/scratch/008.png,1,capsule,test,scratch
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/scratch/013.png,1,capsule,test,scratch
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/faulty_imprint/018.png,1,capsule,test,faulty_imprint
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/crack/008.png,1,capsule,test,crack
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/poke/009.png,1,capsule,test,poke
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/good/003.png,0,capsule,test,good
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/good/015.png,0,capsule,test,good
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/squeeze/010.png,1,capsule,test,squeeze
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/poke/003.png,1,capsule,test,poke
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/good/019.png,0,capsule,test,good
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/poke/001.png,1,capsule,test,poke
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/capsule/test/squeeze/002.png,1,capsule,test,squeeze
